Código (SKU),Descrição,Unidade,Preço,Situação,Largura embalagem,Altura embalagem,Comprimento embalagem,URL imagem 1,URL imagem 2,URL imagem 3,URL imagem 4,URL imagem 5,URL imagem 6,Categoria,destaque,exemplo
LD3810007,ABRIDOR DE LATAS AGUA DE COCO,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/cc9e05a28d344cfeddb0fa7f82d461fe.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/908c8891eaa123d1d75ad08f505dd493.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/dddb8e2b0676b02e8b28bfc0534441bb.png,,,,CHAVEIROS,,
LD3810006,ABRIDOR DE LATAS ANJINHO,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/2cef379b0c2b2d9efb6ce65dfa972e8e.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/12d697e681306c73169a3929555b0bb2.png,,,,,CHAVEIROS,,
LD3810013,ABRIDOR DE LATAS BOCA,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/b72575134caa003b75d78ad70e075fb3.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/33632a33c6935ee044313bdf8d2e8ad6.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/20dc2bc9f1c8aa69f46a3d464c28e4fe.png,,,,CHAVEIROS,,
LD3810008,ABRIDOR DE LATAS CALDA DE SEREIA,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/9d38c83099b18f5b1cdc4688ec2c5a97.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/108d81f58d4fc6684844ab15a332a0d5.png,,,,,CHAVEIROS,,
LD3810012,ABRIDOR DE LATAS CANECA DE CERVEJA,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/166d4f971010268fa1dfa68a0e70adda.png,,,,,,CHAVEIROS,,
LD3810009,ABRIDOR DE LATAS CHAPEU,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/6cc1b085fc821b3e0898c6a5d2bf759e.png,,,,,,CHAVEIROS,,
LD3810004,ABRIDOR DE LATAS CONCHA CORES VARIADAS,PÇ,3.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/91bea47db84d485620e3464dbd1cd7d6.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/d81c94b2dc108fc4b9f2d08fca3e436e.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/ac40c48d2b57b6c9d0aba6aec030044c.png,,,,CHAVEIROS,,
LD3810005,ABRIDOR DE LATAS FOLHA,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/43a131fff7f685390dd2950dac49abd4.png,,,,,,CHAVEIROS,,
LD3810011,ABRIDOR DE LATAS FOSSIL DE PEIXE,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/dc07131eb8b7ffee4ae90eebe6d9a1e9.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/cd19e32fe8be49826695d869e136c8b1.png,,,,,CHAVEIROS,,
LD3810010,ABRIDOR DE LATAS RODELA DE LIMAO,PÇ,5.99,Ativo,5.5,1,5.5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/bbd4866f25d61b985935325c6c0a3eec.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/58f3437fbe6720ce346d23ee1bf37c67.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/6b621b54ec7491a50601984254116701.png,,,,CHAVEIROS,,
LD4530006,BALEIA RENDADA,PÇ,9.9,Ativo,1.5,7,15,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/44f9f10e13adaa5c13c3a0c1eb93bb20.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/e127a5c98279dc31d4d388036f1ba278.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/027da04980d064c561f51d764973e45e.jpg,,,,DECORACAO,sim,
LD4530007,BALEIA VASINHO,PÇ,12,Ativo,7,5,10,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/30cbc7fe3021d56f4e8af808c9e6abf2.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/f6084506881d500d5ac7ad7108d7db07.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/d03386fe948ed7b72801a57de63dd81d.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/090f80bf9c16fcc04c8d76724ccbbb78.jpg,,,DECORACAO,,
LD21890037,BANGUELA,PÇ,18,Ativo,10,15,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/f7327a07516a2e23d3bc79f24a7a1376.png,,,,,,BRINQUEDOS,,
LD21890031,BONECO SKIN ARANHA,PÇ,18,Ativo,10,15,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/639e5f00b0d924a7e28911dfb2458ac5.png,,,,,,BRINQUEDOS,,
LD21890033,BONECO SKIN ARANHA PRETO,PÇ,18,Ativo,10,15,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/35a217b967a7e10eacc47ca6e0e23bc5.png,,,,,,BRINQUEDOS,,
LD21890034,BONECO SKIN VENON,PÇ,18,Ativo,10,15,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/020b839bcf9d198e6df80743f4e283f8.png,,,,,,BRINQUEDOS,,
LD21890050,CAIXINHA PORTA FIGURINHA COPA FIFA 2026 ROSA - PR.CRIATIVA,UN,25,Ativo,5,12,10,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/96a502662aaa9bc164465683e9ddb015.png,,,,,,BRINQUEDOS,,
